State Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons)
Chhattisgarh,841.13,983.21,43.5,50.19,9.25,18.09,258.46,259.45,19.85,3.59,0.45,0.13
Chhattisgarh,660.36,801.82,1.24,2.22,41.94,120.22,1.39,1.29,0.72,0.11,0,0
Chhattisgarh,959.01,1520.95,14.56,23.66,6.13,13.67,31.38,34.48,0.27,0.05,0.03,0.01
Chhattisgarh,727.94,1295.71,15.8,21.72,7.61,15.83,39.08,32.29,7.57,0.83,0,0
Chhattisgarh,411.12,623.29,3.91,6.76,6.29,15.81,1.16,1.18,0.43,0.09,0,0
Chhattisgarh,377.07,524.07,23.18,37.09,48.4,123.33,3.55,2.99,6,1.75,0,0
Madhya Pradesh,210.2,526.17,300.7,1037.13,13.9,35.38,121.3,226.39,3.37,1.79,0,0
Madhya Pradesh,220.21,395.48,55.56,138.12,10.04,29.37,61,91.2,3.7,1.91,0,0
Madhya Pradesh,34.01,42.06,181,619.2,263.5,1326.45,66,105.6,11,4.4,47.6,9.6
Madhya Pradesh,39.1,181.3,92,320.71,5,8.84,101.5,152.86,51.1,30.07,0,0
Madhya Pradesh,133.13,319.98,200.72,523.88,99.7,462.56,40,40.6,0,0,0,0
Madhya Pradesh,215.1,689.45,90,228,47.5,113.89,28.8,32.32,2.81,1.01,0,0
Madhya Pradesh,5.06,5.69,278,893.21,3.6,3.78,183,241.56,0.49,0.23,0,0
Madhya Pradesh,75.73,126.22,81.6,285.6,5.08,9.74,185.75,278.63,0.6,0.15,0,0
Madhya Pradesh,4.56,1.64,97.19,243.07,1.7,1.79,12.4,14.09,0,0,0,0
Madhya Pradesh,6.33,2.98,175.31,424.07,1.1,0.93,49.99,60.39,0.12,0.03,0,0
Madhya Pradesh,58.4,140.2,77.79,210.5,2.6,3.51,93.67,167.11,0,0,0,0
Madhya Pradesh,121.3,625.9,173.6,499.97,2.18,1.82,54.3,74.66,0,0,0,0
Madhya Pradesh,113.95,233.5,101.8,266.16,38.1,100.02,66.6,76.7,0,0,0,0
Madhya Pradesh,132,324.8,156.8,538.45,4.2,7.29,116,171.33,0,0,0,0
Madhya Pradesh,240.33,389.9,87.27,222.87,38.82,79.21,45.5,47.2,0.01,0,0,0
Madhya Pradesh,9.11,26.29,65,247.26,0.2,0.53,26,25.22,0,0,0,0
Madhya Pradesh,4.4,10.8,76.9,217.09,6.6,16.63,32,43.2,0,0,0,0
Madhya Pradesh,5.71,9.11,255.81,886.02,33.12,87.57,164.6,173.75,0,0,0,0
Madhya Pradesh,16.6,30.18,120.8,399,1.3,2.52,29.5,29.53,0,0,0,0
Madhya Pradesh,21.4,60.1,183,752.79,3.32,7.76,38.93,76.22,0.07,0.01,0,0
Madhya Pradesh,3,5.76,110.4,466.11,0,0,25,38.93,0,0,0,0
Madhya Pradesh,0.45,1.02,110.4,465.12,12.2,27.75,94.41,177.77,0,0,0.4,0.08
Madhya Pradesh,0,0,110.4,395.23,55.5,162,91.4,130.34,0,0,29.4,8.42
Madhya Pradesh,0.2,0.38,220.6,935.79,6.46,8.22,195.2,289.68,0.02,0.01,0,0
Madhya Pradesh,0.8,1.76,125.7,520.38,73.08,239.18,103.2,135.49,0,0,0.34,0.09
Madhya Pradesh,0.1,0.07,170.96,700.94,13.3,40.03,219.47,395.05,0.1,0.03,6,1.57
Madhya Pradesh,0.73,1.05,198.87,692.66,83.9,274.33,149.72,231.47,0.21,0.13,98,35.28
Madhya Pradesh,13.63,16.77,85,236.27,115.22,324.27,37.1,45.89,0,0,34,6.18
Madhya Pradesh,1.76,1.94,185.6,693.83,124.79,482.66,123.78,209.49,2.62,1.53,282,79.78
Madhya Pradesh,5.89,3.38,163.5,607.73,53.86,178.3,69.51,68.91,5.91,3.76,105.1,30.45
Madhya Pradesh,36.45,71.99,278.4,932.95,17.12,42.64,165.9,258.08,0.56,0.29,0,0
Madhya Pradesh,112,236.84,197.6,647.73,6.92,11.49,167.2,279.89,0,0,0,0
Madhya Pradesh,10.5,23.8,263,1025.7,6.62,16.27,207.04,351.97,0.06,0.02,0,0
Madhya Pradesh,45,79.11,104.4,277.91,80.05,318.2,41.13,61.41,11.29,7.16,0.3,0.08
